ticker,strike,dte,bid,ask,mid,delta,iv,rv_20d,volume,open_interest,quote_age,last_trade,earnings_date,spot,iv_unreliable,spread,vrp,annualized_roc,spread_pct,capital,breakeven,quote_time
DELL,460.0,7,5.05,5.85,5.449999999999999,-0.21665014648357594,0.64280903,0.8596230536608842,255,1102,0 days 12:01:06.564426,2026-08-14 15:59:40-04:00,2026-09-03,490.81,False,0.14678899082568805,-0.2168140236608842,0.61777950310559,0.14678899082568805,46000.0,454.55,2026-08-14 15:59:40-04:00
SPCX,126.0,7,0.65,0.69,0.6699999999999999,-0.1098555231640681,0.64933586,1.0395969135803995,1216,1204,0 days 12:01:05.519394,2026-08-14 15:59:41-04:00,2026-08-04,140.0,False,0.05970149253731333,-0.39026105358039953,0.27726757369614513,0.05970149253731333,12600.0,125.33,2026-08-14 15:59:41-04:00
SPCX,127.0,7,0.76,0.81,0.785,-0.1251481682142883,0.6430618,1.0395969135803995,1346,1282,0 days 12:00:47.519394,2026-08-14 15:59:59-04:00,2026-08-04,140.0,False,0.06369426751592362,-0.3965351135803995,0.3223003374578178,0.06369426751592362,12700.0,126.215,2026-08-14 15:59:59-04:00
SPCX,128.0,7,0.89,0.93,0.91,-0.14243254209371603,0.63788456,1.0395969135803995,2014,1530,0 days 12:01:33.519394,2026-08-14 15:59:13-04:00,2026-08-04,140.0,False,0.043956043956043994,-0.4017123535803995,0.370703125,0.043956043956043994,12800.0,127.09,2026-08-14 15:59:13-04:00
SPCX,129.0,7,1.05,1.1,1.0750000000000002,-0.1623253576658441,0.63533294,1.0395969135803995,1183,1076,0 days 12:01:05.519394,2026-08-14 15:59:41-04:00,2026-08-04,140.0,False,0.04651162790697678,-0.40426397358039956,0.43452380952380965,0.04651162790697678,12900.0,127.925,2026-08-14 15:59:41-04:00
SPCX,130.0,7,1.22,1.27,1.245,-0.1838397631169626,0.6324814,1.0395969135803995,17182,15731,0 days 12:00:50.519394,2026-08-14 15:59:56-04:00,2026-08-04,140.0,False,0.04016064257028116,-0.40711551358039955,0.49936813186813195,0.04016064257028116,13000.0,128.755,2026-08-14 15:59:56-04:00
SPCX,131.0,7,1.43,1.46,1.4449999999999998,-0.20749374007748633,0.6309114,1.0395969135803995,2641,2254,0 days 12:00:56.519394,2026-08-14 15:59:50-04:00,2026-08-04,140.0,False,0.020761245674740504,-0.4086855135803995,0.5751635768811341,0.020761245674740504,13100.0,129.555,2026-08-14 15:59:50-04:00
SPCX,132.0,7,1.68,1.75,1.7149999999999999,-0.23301475717738263,0.63008195,1.0395969135803995,3035,3944,0 days 12:00:47.519394,2026-08-14 15:59:59-04:00,2026-08-04,140.0,False,0.04081632653061228,-0.4095149635803995,0.6774621212121211,0.04081632653061228,13200.0,130.285,2026-08-14 15:59:59-04:00
IREN,39.0,7,0.36,0.38,0.37,-0.13857958105951673,0.86459935,1.489809835409236,1290,3167,0 days 12:02:14.499285,2026-08-14 15:58:32-04:00,2026-08-27,44.06,False,0.054054054054054106,-0.625210485409236,0.49468864468864476,0.054054054054054106,3900.0,38.63,2026-08-14 15:58:32-04:00
IREN,40.0,7,0.51,0.55,0.53,-0.1873964357213762,0.8508123,1.489809835409236,2189,9762,0 days 12:01:11.499285,2026-08-14 15:59:35-04:00,2026-08-27,44.06,False,0.07547169811320761,-0.638997535409236,0.6908928571428573,0.07547169811320761,4000.0,39.47,2026-08-14 15:59:35-04:00
IREN,41.0,7,0.73,0.8,0.765,-0.24541557394999958,0.83441913,1.489809835409236,1972,14293,0 days 12:01:02.499285,2026-08-14 15:59:44-04:00,2026-08-27,44.06,False,0.09150326797385629,-0.6553907054092359,0.9729094076655053,0.09150326797385629,4100.0,40.235,2026-08-14 15:59:44-04:00
NBIS,245.0,7,3.8,4.1,3.9499999999999997,-0.1798682794945663,1.0835272,1.8823336199960101,703,1024,0 days 12:01:14.456474,2026-08-14 15:59:32-04:00,2026-08-12,277.68,False,0.07594936708860756,-0.7988064199960101,0.8406705539358601,0.07594936708860756,24500.0,241.05,2026-08-14 15:59:32-04:00
NBIS,250.0,7,4.9,5.2,5.050000000000001,-0.2142055041637997,1.0655259,1.8823336199960101,6788,2233,0 days 12:01:08.456474,2026-08-14 15:59:38-04:00,2026-08-12,277.68,False,0.05940594059405936,-0.8168077199960102,1.0532857142857144,0.05940594059405936,25000.0,244.95,2026-08-14 15:59:38-04:00
